species,charge_e,x_A,y_A,z_A
Cs,1.0000000000,18.9162736030,8.1069739041,8.1069755098
Cs,1.0000000000,8.1069743402,-8.1069744859,-18.9162738860
Cs,1.0000000000,-8.1069738540,-18.9162737239,8.1069753824
Cs,1.0000000000,8.1069745777,-18.9162733923,8.1069754402
Cs,1.0000000000,18.9162737448,-8.1069744287,8.1069755080
Cs,1.0000000000,-8.1069739428,8.1069739377,18.9162750672
Cs,1.0000000000,8.1069745229,8.1069738845,18.9162751530
Cs,1.0000000000,-8.1069737670,-8.1069747800,18.9162750933
Cs,1.0000000000,8.1069746647,-8.1069744483,18.9162751512
Br,-1.0000000000,-10.8092987379,18.8376495659,-5.4046492172
Br,-1.0000000000,-5.4046491906,18.8376494345,-10.8092991228
Br,-1.0000000000,5.4046499360,18.8376494675,-10.8092990710
Br,-1.0000000000,-10.8092986913,18.8376495792,5.4046504778
Br,-1.0000000000,-18.8376500652,10.8092984819,-5.4046493844
Br,-1.0000000000,10.8092995155,18.8376496318,-5.4046491136
Br,-1.0000000000,-18.8376500186,10.8092984953,5.4046503105
Br,-1.0000000000,-18.8376499710,5.4046491125,-10.8092992152
Br,-1.0000000000,18.8376503694,10.8092985569,-5.4046490920
Br,-1.0000000000,-5.4046492946,10.8092984622,-18.8376504099
Br,-1.0000000000,-5.4046490975,18.8376494612,10.8093002671
Br,-1.0000000000,-10.8092988872,5.4046489389,-18.8376503662
Br,-1.0000000000,5.4046498321,10.8092984952,-18.8376503581
Br,-1.0000000000,-18.8376500115,-5.4046498181,-10.8092992311
Br,-1.0000000000,10.8092995621,18.8376496451,5.4046505814
Br,-1.0000000000,10.8092993662,5.4046490048,-18.8376502626
Br,-1.0000000000,-18.8376501460,-10.8092993792,-5.4046494164
Br,-1.0000000000,18.8376502886,-10.8092993042,-5.4046491240
Br,-1.0000000000,18.8376504639,5.4046491096,-10.8092990527
Br,-1.0000000000,5.4046500292,18.8376494942,10.8093003189
Br,-1.0000000000,-10.8092987596,-18.8376505472,-5.4046494931
Br,-1.0000000000,-18.8376498779,5.4046491392,10.8093001747
Br,-1.0000000000,-10.8092989276,-5.4046499916,-18.8376503822
Br,-1.0000000000,18.8376504160,10.8092985703,5.4046506029
Br,-1.0000000000,-18.8376500994,-10.8092993659,5.4046502786
Br,-1.0000000000,5.4046496443,-18.8376504370,-10.8092991228
Br,-1.0000000000,18.8376504234,-5.4046498210,-10.8092990687
Br,-1.0000000000,-5.4046494824,-18.8376504699,-10.8092991746
Br,-1.0000000000,-10.8092987131,-18.8376505339,5.4046502019
Br,-1.0000000000,10.8092993257,-5.4046499257,-18.8376502786
Br,-1.0000000000,-5.4046493755,-10.8092993989,-18.8376504419
Br,-1.0000000000,-18.8376499183,-5.4046497914,10.8093001587
Br,-1.0000000000,5.4046497512,-10.8092993660,-18.8376503901
Br,-1.0000000000,10.8092994937,-18.8376504813,-5.4046493895
Br,-1.0000000000,18.8376503351,-10.8092992909,5.4046505709
Br,-1.0000000000,10.8092995403,-18.8376504680,5.4046503055
Br,-1.0000000000,-5.4046493892,-18.8376504432,10.8093002152
Br,-1.0000000000,5.4046497375,-18.8376504103,10.8093002670
Br,-1.0000000000,18.8376505570,5.4046491363,10.8093003372
Br,-1.0000000000,18.8376505166,-5.4046497943,10.8093003212
Br,-1.0000000000,-10.8092987401,5.4046491163,18.8376516242
Br,-1.0000000000,-10.8092987805,-5.4046498143,18.8376516082
Br,-1.0000000000,-5.4046491227,10.8092986439,18.8376520091
Br,-1.0000000000,10.8092995133,5.4046491822,18.8376517278
Br,-1.0000000000,-5.4046492036,-10.8092992172,18.8376519771
Br,-1.0000000000,5.4046500039,10.8092986769,18.8376520609
Br,-1.0000000000,10.8092994728,-5.4046497484,18.8376517118
Br,-1.0000000000,5.4046499231,-10.8092991843,18.8376520289
Br,-1.0000000000,-2.7809478435,21.6185974216,-5.4046491797
Br,-1.0000000000,-5.4046491755,21.6185975478,-2.7809473648
Br,-1.0000000000,2.7809482286,21.6185974784,-5.4046492648
Br,-1.0000000000,-5.4046491610,21.6185974195,2.7809489959
Br,-1.0000000000,5.4046499512,21.6185975807,-2.7809473130
Br,-1.0000000000,-2.7809477969,21.6185974350,5.4046505153
Br,-1.0000000000,5.4046499657,21.6185974525,2.7809490477
Br,-1.0000000000,-21.6185978055,2.7809472810,-5.4046495129
Br,-1.0000000000,2.7809482752,21.6185974918,5.4046504301
Br,-1.0000000000,-21.6185979599,5.4046490566,-2.7809478175
Br,-1.0000000000,-21.6185977589,2.7809472943,5.4046501820
