species_name,formula,dHf_0K,dHf_298K,units,atct_id,molar_mass,molar_mass_uncertainty,cas_number,atct_seq,uncertainty_kJmol,species_type,number_of_atoms,cleaned_formula,number_of_elements,CID,Canonical_SMILES,Isomeric_SMILES,InChI,H-H_S,N-N_T,O-O_D,F-F_S,Cl-Cl_S,Br-Br_S,I-I_S,C-H_S,H-O_S,C-O_D,C-C_S,C-C_D,C-O_S,H-N_S,C-O_T,C-C_T,Cl-H_S,C-C_A,F-H_S,C-N_T,Br-H_S,N-O_D,C-N_S,C-Cl_S,O-O_S,H-I_S,N-O_S,C-F_S,H-Si_S,O-S_D,Br-C_S,Cl-O_S,C-N_D,Br-O_S,C-I_S,H-S_S,F-O_S,C-Si_S,O-S_S,F-Si_S,I-O_S,O-Si_S,Cl-F_S,N-N_D,F-N_S,C-N_A,Si-Si_S,N-O_T,Si-Si_D,S-S_D,C-S_S,O-Si_D,I-O_D,N-N_S,Cl-I_S,Br-Si_S,Cl-Si_S,C-S_D,C-O_A,B-O_S,B-Cl_S,Br-I_S,Cl-N_S,B-H_S,C-Si_T,B-F_S,Si-Si_T,B-C_S,B-N_S,I-Si_S,Cl-S_S,C-S_T,B-N_T,O-O_A,I-I_D,C-I_D,N-O_A,Br-Cl_S,S-S_S,N-N_A,H-Pt_S,O-S_A,S-S_A,N-S_S,Structure_source,SINGLE,num_bonds,TRIPLE,DOUBLE,AROMATIC
Formic acid,"HC(O)OH (aq, 3 H2O)",,-425.39,kJ/mol,64-18-6*805,46.0254,0.001,64-18-6,805,,molecule,5,HC(O)OH,7,284.0,C(=O)O,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,4,0,1,0
Vinylcyclopentadienylium,[CH2CHC(CHCHCHCH)]+ (g),1076.9,1059.5,kJ/mol,146893-89-2*0,91.1299,0.0056,146893-89-2,0,,molecule,14,[CH2CHC(CHCHCHCH)],13,137767.0,C=C=[CH],C=C=[CH],"InChI=1S/C3H3/c1-3-2/h1H,2H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,5,0,2,0
Formic acid,"HC(O)OH (aq, 4 H2O)",,-425.33,kJ/mol,64-18-6*807,46.0254,0.001,64-18-6,807,,molecule,5,HC(O)OH,7,284.0,C(=O)O,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,4,0,1,0
Bromoform,CHBr3 (l),,8.78,kJ/mol,75-25-2*590,252.7306,0.0031,75-25-2,590,,molecule,5,CHBr3,3,5558.0,C(Br)(Br)Br,C(Br)(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,4,4,0,0,0
Fulvenone cation,[OCC(CHCHCHCH)]+ (g),913.5,903.3,kJ/mol,884319-80-6*0,92.0948,0.0048,884319-80-6,0,,molecule,11,[OCC(CHCHCHCH)],11,189691.0,[C+]#C[O-],[C+]#C[O-],InChI=1S/C2O/c1-2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,2,1,0,0
Hydrogen chloride,"HCl (aq, 400 H2O)",,-166.336,kJ/mol,7647-01-0*832,36.46064,0.0009,7647-01-0,832,,molecule,2,HCl,4,313.0,Cl,Cl,InChI=1S/ClH/h1H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Acetic acid,"CH3C(O)OH (aq, 6 H2O)",,-483.28,kJ/mol,64-19-7*811,60.052,0.0017,64-19-7,811,,molecule,8,CH3C(O)OH,8,176.0,CC(=O)O,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,6,7,0,1,0
Hydrogen fluoride,"HF (aq, 35 H2O)",,-321.91,kJ/mol,7664-39-3*904,20.006343,7e-05,7664-39-3,904,,molecule,2,HF,4,14917.0,F,F,InChI=1S/FH/h1H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
1-Methoxyethenol,CH2C(OH)OCH3 (g),-284.2,-302.7,kJ/mol,4453-91-2*0,74.0785,0.0025,4453-91-2,0,,molecule,11,CH2C(OH)OCH3,8,136675085.0,COC(=[CH+])O,COC(=[CH+])O,"InChI=1S/C3H4O2/c1-3(4)5-2/h1H,2H3/p+1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,8,9,0,1,0
Propane,"CH3CH2CH3 (cr,l)",-110.19,-121.17,kJ/mol,74-98-6*500,44.0956,0.0025,74-98-6,500,,molecule,11,CH3CH2CH3,6,6334.0,CCC,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,10,10,0,0,0
