species,charge_e,x_A,y_A,z_A
I,-1.0000000000,0.0000001310,-16.9957215727,-25.5842583181
I,-1.0000000000,-16.9957209348,-0.0000001018,-25.5842587714
I,-1.0000000000,-25.5842591080,-0.0000001278,-16.9957207105
I,-1.0000000000,0.0000000462,-25.5842592739,-16.9957208846
I,-1.0000000000,16.9957214044,0.0000000964,-25.5842589302
I,-1.0000000000,-0.0000001180,-25.5842592065,16.9957210219
I,-1.0000000000,-25.5842592722,-0.0000000604,16.9957211960
I,-1.0000000000,-25.5842602132,16.9957214685,0.0000002677
I,-1.0000000000,-25.5842604082,-16.9957216736,0.0000001981
I,-1.0000000000,16.9957211279,-25.5842608580,-0.0000000143
I,-1.0000000000,-16.9957212113,-25.5842610562,0.0000001445
Ti,4.0000000000,-28.3261994733,-11.3304803945,-5.6652400845
Ti,4.0000000000,-28.3261995280,-11.3304803720,5.6652405510
Ti,4.0000000000,-28.3261993433,11.3304817002,-5.6652400381
Ti,4.0000000000,-28.3261993980,11.3304817227,5.6652405974
Ti,4.0000000000,-11.3304807509,5.6652393476,-28.3262009293
Ti,4.0000000000,-5.6652378044,-11.3304803073,-28.3262014614
Ti,4.0000000000,11.3304808086,5.6652394797,-28.3262010351
Ti,4.0000000000,-11.3304808159,-5.6652416998,-28.3262009525
Ti,4.0000000000,-5.6652376744,11.3304817874,-28.3262014150
Ti,4.0000000000,11.3304807436,-5.6652415676,-28.3262010583
Ti,4.0000000000,-28.3262018138,5.6652404342,-11.3304805356
Ti,4.0000000000,5.6652429753,-11.3304802412,-28.3262015143
Ti,4.0000000000,-28.3262018788,-5.6652406131,-11.3304805588
Ti,4.0000000000,-28.3262019232,5.6652404792,11.3304807354
Ti,4.0000000000,-28.3262019882,-5.6652405682,11.3304807122
Ti,4.0000000000,5.6652402210,-28.3262024647,11.3304805070
Ti,4.0000000000,5.6652431053,11.3304818534,-28.3262014679
Ti,4.0000000000,-5.6652405587,-28.3262025307,11.3304805600
Ti,4.0000000000,5.6652403304,-28.3262025096,-11.3304807640
Ti,4.0000000000,-5.6652404493,-28.3262025757,-11.3304807110
Ti,4.0000000000,11.3304805041,-28.3262036174,-5.6652398337
Ti,4.0000000000,11.3304804494,-28.3262035949,5.6652408018
Ti,4.0000000000,-11.3304810553,-28.3262037495,-5.6652397279
Ti,4.0000000000,-11.3304811101,-28.3262037271,5.6652409076
I,-1.0000000000,-16.9957208971,5.6652404286,-25.4029024849
I,-1.0000000000,-16.9957209621,-5.6652406188,-25.4029025081
I,-1.0000000000,-5.6652400524,16.9957215420,-25.4029025146
I,-1.0000000000,16.9957213771,-5.6652404206,-25.4029026669
I,-1.0000000000,-5.6652402474,-16.9957216000,-25.4029025842
I,-1.0000000000,16.9957214421,5.6652406268,-25.4029026437
I,-1.0000000000,5.6652405324,-16.9957215340,-25.4029026371
I,-1.0000000000,5.6652407274,16.9957216080,-25.4029025675
I,-1.0000000000,-25.4029044259,5.6652403819,-16.9957208419
I,-1.0000000000,5.6652402670,-25.4029045586,16.9957208542
I,-1.0000000000,-25.4029044909,-5.6652406655,-16.9957208651
I,-1.0000000000,16.9957211015,-25.4029045150,5.6652401658
I,-1.0000000000,-5.6652405127,-25.4029046246,16.9957209072
I,-1.0000000000,-25.4029045900,5.6652404492,16.9957210647
I,-1.0000000000,16.9957211562,-25.4029045375,-5.6652404697
I,-1.0000000000,5.6652404312,-25.4029046260,-16.9957210523
I,-1.0000000000,-25.4029044156,16.9957214517,-5.6652401832
I,-1.0000000000,-5.6652403486,-25.4029046920,-16.9957209993
I,-1.0000000000,-25.4029046550,-5.6652405981,16.9957210415
I,-1.0000000000,-25.4029044703,16.9957214741,5.6652404524
I,-1.0000000000,-16.9957211830,-25.4029047356,-5.6652403109
I,-1.0000000000,-16.9957212378,-25.4029047132,5.6652403246
I,-1.0000000000,-25.4029046106,-16.9957216904,-5.6652402528
I,-1.0000000000,-25.4029046653,-16.9957216679,5.6652403827
I,-1.0000000000,-19.9190181733,16.9957214705,-16.9957207120
I,-1.0000000000,19.9190183989,-16.9957213812,16.9957208065
I,-1.0000000000,-19.9190183682,-16.9957216715,-16.9957207816
I,-1.0000000000,-19.9190183374,16.9957215379,16.9957211945
I,-1.0000000000,19.9190185631,-16.9957214486,-16.9957211000
I,-1.0000000000,19.9190185939,16.9957217608,16.9957208761
I,-1.0000000000,-19.9190185324,-16.9957216041,16.9957211249
I,-1.0000000000,-16.9957208683,19.9190194313,-16.9957208536
I,-1.0000000000,16.9957210743,-19.9190193151,16.9957209487
I,-1.0000000000,19.9190187581,16.9957216934,-16.9957210304
I,-1.0000000000,-16.9957211007,-19.9190195807,-16.9957207991
I,-1.0000000000,16.9957212385,-19.9190193825,-16.9957209578
I,-1.0000000000,-16.9957210325,19.9190194987,16.9957210529
I,-1.0000000000,-16.9957212649,-19.9190195133,16.9957211075
I,-1.0000000000,16.9957213067,19.9190196968,16.9957208941
I,-1.0000000000,16.9957214709,19.9190196294,-16.9957210124
I,-1.0000000000,-16.9957208673,16.9957214773,-19.9190197690
I,-1.0000000000,16.9957210932,-16.9957213781,19.9190198520
I,-1.0000000000,-16.9957210623,-16.9957216647,-19.9190198386
I,-1.0000000000,-16.9957210510,16.9957215658,19.9190200804
I,-1.0000000000,16.9957212769,-16.9957214665,-19.9190199973
I,-1.0000000000,-16.9957212460,-16.9957215762,19.9190200107
I,-1.0000000000,16.9957212882,16.9957217640,19.9190199216
I,-1.0000000000,16.9957214719,16.9957216755,-19.9190199277
I,-1.0000000000,0.0000002565,-0.0000000109,-31.2494989120
I,-1.0000000000,-31.2494991563,-0.0000001318,0.0000002637
I,-1.0000000000,-0.0000000833,-31.2494999788,0.0000000576
Cs,1.0000000000,-2.8326196412,2.8326199647,-31.1588219102
Cs,1.0000000000,-2.8326196796,-2.8326200318,-31.1588219279
Cs,1.0000000000,2.8326202109,2.8326199913,-31.1588219256
Cs,1.0000000000,2.8326201680,-2.8326199875,-31.1588219395
Cs,1.0000000000,-19.8283413383,14.1631009290,-19.8283411611
Cs,1.0000000000,19.8283415642,-14.1631008350,19.8283412623
Cs,1.0000000000,-14.1631003841,19.8283420193,-19.8283411930
Cs,1.0000000000,-31.1588222792,2.8326198783,-2.8326197462
Cs,1.0000000000,-19.8283415112,-14.1631011445,-19.8283412213
Cs,1.0000000000,-31.1588222924,2.8326198605,2.8326201397
Cs,1.0000000000,14.1631006003,-19.8283419072,19.8283412667
Cs,1.0000000000,-31.1588223022,-2.8326201423,-2.8326197570
Cs,1.0000000000,-19.8283413377,19.8283419960,-14.1631003990
Cs,1.0000000000,-31.1588223354,-2.8326201183,2.8326201259
Cs,1.0000000000,-19.8283415439,14.1631010366,19.8283414951
Cs,1.0000000000,19.8283415694,-19.8283419080,14.1631004796
Cs,1.0000000000,19.8283417601,-14.1631009245,-19.8283414214
Cs,1.0000000000,-14.1631006056,-19.8283421736,-19.8283412682
Cs,1.0000000000,-19.8283416969,-14.1631010786,19.8283414379
Cs,1.0000000000,19.8283417355,14.1631012536,19.8283413256
Cs,1.0000000000,14.1631008060,-19.8283420149,-19.8283413895
Cs,1.0000000000,-14.1631005800,19.8283421089,19.8283414907
Cs,1.0000000000,-14.1631007987,-19.8283420866,19.8283414147
Cs,1.0000000000,-19.8283414804,19.8283420650,14.1631007548
Cs,1.0000000000,-19.8283415747,-19.8283421728,-14.1631004810
Cs,1.0000000000,19.8283419286,14.1631011666,-19.8283413574
Cs,1.0000000000,19.8283417047,-19.8283419558,-14.1631006506
Cs,1.0000000000,14.1631008373,19.8283422616,19.8283413487
Cs,1.0000000000,14.1631010230,19.8283421957,-19.8283413105
Cs,1.0000000000,-19.8283416974,-19.8283421457,14.1631006758
Cs,1.0000000000,19.8283417909,19.8283422849,14.1631005547
Cs,1.0000000000,19.8283419234,19.8283422397,-14.1631005746
Cs,1.0000000000,2.8326198650,-31.1588230656,-2.8326199745
Cs,1.0000000000,2.8326198518,-31.1588230833,2.8326199113
Cs,1.0000000000,-2.8326200003,-31.1588231099,2.8326199267
Cs,1.0000000000,-2.8326199745,-31.1588231128,-2.8326199324
I,-1.0000000000,-31.0681433327,5.6652403934,0.0000001391
I,-1.0000000000,-31.0681433977,-5.6652406540,0.0000001159
I,-1.0000000000,5.6652403192,-31.0681441672,-0.0000001045
I,-1.0000000000,-5.6652401307,-0.0000000354,-31.0681442068
I,-1.0000000000,-5.6652404605,-31.0681442332,-0.0000000515
I,-1.0000000000,5.6652406490,0.0000000307,-31.0681442597
I,-1.0000000000,-31.0681444603,-0.0000001351,-5.6652401959
I,-1.0000000000,-31.0681445150,-0.0000001126,5.6652404396
I,-1.0000000000,0.0000003034,5.6652405130,-31.0681447914
I,-1.0000000000,0.0000002384,-5.6652405344,-31.0681448146
I,-1.0000000000,-0.0000000906,-31.0681458693,5.6652402299
I,-1.0000000000,-0.0000000358,-31.0681458917,-5.6652404056
I,-1.0000000000,-28.3262017413,8.4071819973,-11.3304803684
I,-1.0000000000,-11.3304804838,8.4071837796,-28.3262013976
I,-1.0000000000,-28.3262018353,-8.4071822931,-11.3304805348
I,-1.0000000000,-8.4071827264,11.3304809995,-28.3262015496
I,-1.0000000000,-28.3262018508,8.4071820423,11.3304809026
I,-1.0000000000,-8.4071828564,-11.3304810952,-28.3262015960
I,-1.0000000000,8.4071832209,-11.3304809994,-28.3262015280
I,-1.0000000000,-28.3262019447,-8.4071822482,11.3304807362
I,-1.0000000000,8.4071833509,11.3304810952,-28.3262014816
I,-1.0000000000,-28.3262017346,11.3304809248,-8.4071828067
I,-1.0000000000,-11.3304805762,-8.4071839080,-28.3262015773
I,-1.0000000000,11.3304810756,8.4071839117,-28.3262015035
I,-1.0000000000,-28.3262018137,11.3304809469,8.4071832112
I,-1.0000000000,-28.3262018646,-11.3304811699,-8.4071828531
I,-1.0000000000,11.3304809833,-8.4071837759,-28.3262016832
I,-1.0000000000,8.4071818113,-28.3262025003,11.3304806517
I,-1.0000000000,-28.3262019437,-11.3304811478,8.4071831648
I,-1.0000000000,8.4071819207,-28.3262025452,-11.3304806194
I,-1.0000000000,-8.4071820230,-28.3262025941,11.3304805992
I,-1.0000000000,-8.4071819135,-28.3262026390,-11.3304806718
I,-1.0000000000,11.3304806816,-28.3262024866,8.4071835123
I,-1.0000000000,11.3304807787,-28.3262025181,-8.4071836430
I,-1.0000000000,-11.3304807808,-28.3262026502,-8.4071835371
I,-1.0000000000,-11.3304808778,-28.3262026188,8.4071836182
I,-1.0000000000,-14.2537782735,-0.0000000842,-28.3262013990
I,-1.0000000000,-22.6609612806,14.2537781430,-16.9957208425
I,-1.0000000000,0.0000001659,-14.2537782490,-28.3262014969
I,-1.0000000000,-22.6609612882,16.9957214596,-14.2537775071
I,-1.0000000000,0.0000003336,14.2537782527,-28.3262015839
I,-1.0000000000,22.6609615065,-14.2537780270,16.9957209392
I,-1.0000000000,-22.6609614483,-14.2537783587,-16.9957207556
I,-1.0000000000,-28.3262017692,-0.0000001454,-14.2537780830
I,-1.0000000000,22.6609615140,-16.9957213597,14.2537775983
I,-1.0000000000,-22.6609614448,14.2537782104,16.9957210640
I,-1.0000000000,22.6609616707,-14.2537780944,-16.9957209673
I,-1.0000000000,-22.6609614100,16.9957215180,14.2537778796
I,-1.0000000000,-22.6609614832,-16.9957216824,-14.2537775767
I,-1.0000000000,22.6609616358,-16.9957214182,-14.2537777884
I,-1.0000000000,14.2537787681,0.0000000843,-28.3262016787
I,-1.0000000000,22.6609616742,14.2537784747,16.9957208523
I,-1.0000000000,-22.6609616124,-14.2537782913,16.9957211510
I,-1.0000000000,-28.3262019091,-0.0000000776,14.2537784411
I,-1.0000000000,-22.6609616050,-16.9957216240,14.2537778100
I,-1.0000000000,14.2537784192,-22.6609619206,16.9957208170
I,-1.0000000000,16.9957210799,-22.6609619081,14.2537781830
I,-1.0000000000,22.6609617089,16.9957217823,14.2537776679
I,-1.0000000000,22.6609618383,14.2537784073,-16.9957210542
I,-1.0000000000,22.6609618308,16.9957217239,-14.2537777188
I,-1.0000000000,-0.0000001105,-28.3262025392,14.2537776810
I,-1.0000000000,-16.9957208708,14.2537798452,-22.6609611768
I,-1.0000000000,-14.2537793241,16.9957214896,-22.6609610562
I,-1.0000000000,-14.2537784583,-22.6609621564,-16.9957208099
I,-1.0000000000,0.0000000113,-28.3262025976,-14.2537777058
I,-1.0000000000,16.9957212197,-22.6609619758,-14.2537783411
I,-1.0000000000,-16.9957211195,-22.6609621740,-14.2537781823
I,-1.0000000000,14.2537795468,-16.9957213922,22.6609611520
I,-1.0000000000,14.2537785834,-22.6609619880,-16.9957210896
I,-1.0000000000,-16.9957210368,-14.2537800537,-22.6609611033
I,-1.0000000000,-16.9957212593,-22.6609621062,14.2537783418
I,-1.0000000000,-14.2537786224,-22.6609620890,16.9957210967
I,-1.0000000000,-14.2537795190,-16.9957216524,-22.6609611258
I,-1.0000000000,-28.3262017600,14.2537798240,0.0000001471
I,-1.0000000000,-16.9957210897,14.2537799350,22.6609613652
I,-1.0000000000,16.9957213024,-14.2537798556,-22.6609612621
I,-1.0000000000,16.9957212495,14.2537801332,22.6609612064
I,-1.0000000000,14.2537797657,-16.9957214820,-22.6609613900
I,-1.0000000000,14.2537797418,16.9957217499,22.6609612216
I,-1.0000000000,-28.3262019260,-14.2537800749,0.0000002207
I,-1.0000000000,16.9957214684,14.2537800433,-22.6609613356
I,-1.0000000000,14.2537799606,16.9957216600,-22.6609613204
I,-1.0000000000,14.2537795912,-28.3262024844,-0.0000001422
I,-1.0000000000,-14.2537796935,-28.3262026549,0.0000001220
Ti,4.0000000000,22.6609614500,0.0000001771,22.6609611652
Ti,4.0000000000,-22.6609614500,-0.0000001771,-22.6609611652
Ti,4.0000000000,-22.6609616689,-0.0000000872,22.6609613769
Ti,4.0000000000,22.6609616689,0.0000000872,-22.6609613769
Ti,4.0000000000,-0.0000002394,-22.6609620498,22.6609612246
Ti,4.0000000000,0.0000002394,22.6609620498,-22.6609612246
Ti,4.0000000000,-22.6609614295,22.6609619626,0.0000001523
Ti,4.0000000000,22.6609614295,-22.6609619626,-0.0000001523
Ti,4.0000000000,-0.0000000206,-22.6609621396,-22.6609613174
Ti,4.0000000000,0.0000000206,22.6609621396,22.6609613174
Ti,4.0000000000,-22.6609616895,-22.6609622268,0.0000000595
Ti,4.0000000000,22.6609616895,22.6609622268,-0.0000000595
I,-1.0000000000,-28.3262017316,5.6652403850,-14.0724217964
I,-1.0000000000,-28.3262017966,-5.6652406624,-14.0724218196
I,-1.0000000000,-28.3262018762,5.6652404313,14.0724221673
I,-1.0000000000,-28.3262019412,-5.6652406160,14.0724221441
I,-1.0000000000,-5.6652400713,14.0724236049,-28.3262014179
I,-1.0000000000,-14.0724235914,5.6652404254,-28.3262015303
I,-1.0000000000,5.6652407085,14.0724236710,-28.3262014708
I,-1.0000000000,-5.6652402289,-14.0724236672,-28.3262016117
I,-1.0000000000,-14.0724236564,-5.6652406219,-28.3262015535
I,-1.0000000000,-28.3262017402,14.0724235177,-5.6652400410
I,-1.0000000000,5.6652402680,-28.3262025125,14.0724219389
I,-1.0000000000,5.6652405509,-14.0724236011,-28.3262016646
I,-1.0000000000,5.6652404126,-28.3262025589,-14.0724220248
I,-1.0000000000,-5.6652405117,-28.3262025786,14.0724219918
I,-1.0000000000,-28.3262017949,14.0724235402,5.6652405945
I,-1.0000000000,14.0724240907,-5.6652404484,-28.3262015527
I,-1.0000000000,-5.6652403671,-28.3262026249,-14.0724219719
I,-1.0000000000,14.0724241557,5.6652405989,-28.3262015295
I,-1.0000000000,-28.3262018978,-14.0724237544,-5.6652402348
I,-1.0000000000,-28.3262019525,-14.0724237319,5.6652404007
I,-1.0000000000,14.0724237965,-28.3262024757,5.6652403074
I,-1.0000000000,14.0724238512,-28.3262024982,-5.6652403281
I,-1.0000000000,-14.0724238958,-28.3262026716,-5.6652403289
I,-1.0000000000,-14.0724239506,-28.3262026492,5.6652403066
I,-1.0000000000,-22.6609613383,2.7419429861,-22.6609610380
I,-1.0000000000,-22.6609613525,-2.7419432403,-22.6609611940
I,-1.0000000000,22.6609615475,-2.7419428862,22.6609611363
I,-1.0000000000,-22.6609615714,-2.7419431505,22.6609613480
I,-1.0000000000,22.6609617806,2.7419432504,-22.6609612497
I,-1.0000000000,22.6609617664,-2.7419429761,-22.6609614057
I,-1.0000000000,-2.7419432088,-22.6609620023,22.6609612162
I,-1.0000000000,2.7419431624,-22.6609620733,-22.6609612125
I,-1.0000000000,22.6609615218,-22.6609619061,2.7419428422
I,-1.0000000000,-2.7419429899,-22.6609620922,-22.6609613258
I,-1.0000000000,22.6609615476,-22.6609619175,-2.7419430432
I,-1.0000000000,-22.6609615713,-22.6609621818,-2.7419428314
I,-1.0000000000,-22.6609615972,-22.6609621703,2.7419430539
I,-1.0000000000,-19.9190182021,11.3304809366,-22.6609610371
I,-1.0000000000,-22.6609612927,11.3304809268,-19.9190181475
I,-1.0000000000,19.9190184157,-11.3304808229,22.6609611336
I,-1.0000000000,-19.9190183321,-11.3304811581,-22.6609610835
I,-1.0000000000,22.6609615032,-11.3304808253,19.9190182511
I,-1.0000000000,-22.6609614227,-11.3304811679,-19.9190181939
I,-1.0000000000,-11.3304804428,19.9190189204,-22.6609612006
I,-1.0000000000,19.9190185457,11.3304812718,22.6609611800
I,-1.0000000000,-22.6609612773,19.9190188768,-11.3304805121
I,-1.0000000000,-11.3304806886,-19.9190190425,-22.6609611373
I,-1.0000000000,19.9190186346,-11.3304809127,-22.6609614085
I,-1.0000000000,-22.6609614858,11.3304810052,19.9190185092
I,-1.0000000000,22.6609614865,-19.9190187769,11.3304806104
I,-1.0000000000,11.3304808709,-19.9190189104,-22.6609612432
I,-1.0000000000,19.9190184054,-22.6609618927,11.3304804749
I,-1.0000000000,22.6609616962,-11.3304809037,-19.9190184056
I,-1.0000000000,11.3304806584,-22.6609619387,19.9190182808
I,-1.0000000000,22.6609616332,11.3304812694,19.9190182975
I,-1.0000000000,-11.3304806617,19.9190190103,22.6609613415
I,-1.0000000000,-22.6609616158,-11.3304810895,19.9190184628
I,-1.0000000000,-22.6609613867,19.9190189218,11.3304807589
I,-1.0000000000,19.9190187645,11.3304811819,-22.6609613620
I,-1.0000000000,22.6609615959,-19.9190188219,-11.3304806606
I,-1.0000000000,11.3304808978,19.9190191424,22.6609612356
I,-1.0000000000,-22.6609615230,-19.9190190861,-11.3304804489
I,-1.0000000000,22.6609618262,11.3304811910,-19.9190183592
I,-1.0000000000,-11.3304807080,-22.6609621492,-19.9190182700
I,-1.0000000000,11.3304808515,-22.6609620171,-19.9190183759
