species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,5.4026378396,18.8282170138,-21.6105534108
Br,-1.0000000000,-5.4026376575,-21.6105500645,-18.8282209222
Br,-1.0000000000,-5.4026376064,18.8282170010,21.6105535250
Br,-1.0000000000,5.4026378676,-21.6105500643,-18.8282209070
Br,-1.0000000000,5.4026379187,18.8282170013,21.6105535402
Br,-1.0000000000,-5.4026375996,-21.6105500625,18.8282211171
Br,-1.0000000000,5.4026379255,-21.6105500623,18.8282211323
Br,-1.0000000000,-21.6105509405,5.4026372641,-18.8282207247
Br,-1.0000000000,-21.6105509388,-5.4026376916,-18.8282207224
Br,-1.0000000000,-5.4026376727,-18.8282181084,-21.6105532755
Br,-1.0000000000,5.4026378524,-18.8282181081,-21.6105532603
Br,-1.0000000000,-21.6105508902,5.4026372454,18.8282210324
Br,-1.0000000000,-21.6105508885,-5.4026377103,18.8282210346
Br,-1.0000000000,18.8282185002,5.4026372544,-21.6105534041
Br,-1.0000000000,21.6105512102,5.4026372465,18.8282210933
Br,-1.0000000000,-18.8282186583,5.4026372724,-21.6105533411
Br,-1.0000000000,18.8282185019,-5.4026377014,-21.6105534019
Br,-1.0000000000,-18.8282186566,-5.4026376833,-21.6105533388
Br,-1.0000000000,21.6105512119,-5.4026377093,18.8282210956
Br,-1.0000000000,18.8282185793,5.4026372419,21.6105535468
Br,-1.0000000000,18.8282185810,-5.4026377139,21.6105535491
Br,-1.0000000000,-10.8052754080,27.0131871634,-2.7823324324
Br,-1.0000000000,-10.8052753792,27.0131871696,2.7823327616
Br,-1.0000000000,10.8052756422,27.0131871639,-2.7823324019
Br,-1.0000000000,10.8052756710,27.0131871701,2.7823327920
Br,-1.0000000000,2.7823324083,27.0131871813,-10.8052765774
Br,-1.0000000000,-2.7823325336,27.0131871621,-10.8052767013
Br,-1.0000000000,-2.7823324941,27.0131871559,10.8052767741
Br,-1.0000000000,2.7823324478,27.0131871750,10.8052768981
Br,-1.0000000000,-27.0131886733,10.8052747958,2.7823325160
Br,-1.0000000000,-27.0131886944,10.8052748103,-2.7823323956
Br,-1.0000000000,-27.0131886699,-10.8052751156,2.7823325205
Br,-1.0000000000,-27.0131886910,-10.8052751011,-2.7823323911
Br,-1.0000000000,-27.0131887066,2.7823317994,-10.8052765727
Br,-1.0000000000,-27.0131886670,2.7823317931,10.8052769027
Br,-1.0000000000,-27.0131886729,-2.7823329078,10.8052767612
Br,-1.0000000000,-27.0131887125,-2.7823329016,-10.8052767142
Br,-1.0000000000,2.7823324172,10.8052747577,-27.0131916513
Br,-1.0000000000,2.7823324206,-10.8052751537,-27.0131916468
Br,-1.0000000000,-2.7823322803,10.8052747648,-27.0131918182
Br,-1.0000000000,-10.8052754523,2.7823322530,-27.0131916695
Br,-1.0000000000,-2.7823322769,-10.8052751466,-27.0131918138
Br,-1.0000000000,10.8052755979,2.7823322535,-27.0131916390
Br,-1.0000000000,10.8052755589,-2.7823327280,-27.0131917860
Br,-1.0000000000,-10.8052754913,-2.7823327285,-27.0131918165
Br,-1.0000000000,-16.2079131651,24.3928817080,0.0000001757
Br,-1.0000000000,16.2079134102,24.3928817087,0.0000002214
Br,-1.0000000000,-24.3928835624,16.2079122028,0.0000000082
Br,-1.0000000000,-24.3928835572,-16.2079126644,0.0000000149
Br,-1.0000000000,0.0000000891,24.3928821616,-16.2079149210
Br,-1.0000000000,0.0000001484,24.3928821522,16.2079152922
Br,-1.0000000000,-24.3928832497,-0.0000002039,16.2079151045
Br,-1.0000000000,-24.3928833090,-0.0000001946,-16.2079151087
Br,-1.0000000000,0.0000000792,16.2079122142,-24.3928858904
Br,-1.0000000000,0.0000000844,-16.2079126530,-24.3928858836
Br,-1.0000000000,-16.2079132072,-0.0000001389,-24.3928858536
Br,-1.0000000000,16.2079133681,-0.0000001381,-24.3928858079
Zr,4.0000000000,10.8052755075,27.0131872842,-5.4026382959
Zr,4.0000000000,-10.8052755427,27.0131872836,-5.4026383264
Zr,4.0000000000,-10.8052755229,27.0131872805,5.4026384113
Zr,4.0000000000,10.8052755273,27.0131872810,5.4026384418
Zr,4.0000000000,-5.4026373870,27.0131877404,-10.8052766272
Zr,4.0000000000,-5.4026373474,27.0131877341,10.8052768483
Zr,4.0000000000,5.4026381381,27.0131877406,-10.8052766119
Zr,4.0000000000,5.4026381777,27.0131877344,10.8052768635
Zr,4.0000000000,-27.0131886219,10.8052748494,-5.4026382420
Zr,4.0000000000,-27.0131886022,10.8052748463,5.4026384957
Zr,4.0000000000,-27.0131886185,-10.8052750620,-5.4026382375
Zr,4.0000000000,-27.0131885988,-10.8052750651,5.4026385002
Zr,4.0000000000,-27.0131884321,-5.4026371273,-10.8052766509
Zr,4.0000000000,-27.0131883925,-5.4026371336,10.8052768246
Zr,4.0000000000,-27.0131884338,5.4026378284,-10.8052766532
Zr,4.0000000000,-27.0131883942,5.4026378222,10.8052768223
Zr,4.0000000000,-5.4026376113,10.8052748562,-27.0131916870
Zr,4.0000000000,5.4026379138,10.8052748565,-27.0131916718
Zr,4.0000000000,-5.4026376079,-10.8052750552,-27.0131916825
Zr,4.0000000000,5.4026379172,-10.8052750550,-27.0131916673
Zr,4.0000000000,10.8052754714,5.4026373790,-27.0131917669
Zr,4.0000000000,10.8052754731,-5.4026375767,-27.0131917647
Zr,4.0000000000,-10.8052755788,5.4026373784,-27.0131917974
Zr,4.0000000000,-10.8052755771,-5.4026375773,-27.0131917951
Br,-1.0000000000,-16.2079131659,24.2308547041,-5.4026383312
Br,-1.0000000000,-16.2079131461,24.2308547009,5.4026384065
Br,-1.0000000000,16.2079134094,24.2308547049,-5.4026382855
Br,-1.0000000000,16.2079134292,24.2308547017,5.4026384522
Br,-1.0000000000,-24.2308561239,16.2079122286,-5.4026381628
Br,-1.0000000000,-24.2308561041,16.2079122255,5.4026385750
Br,-1.0000000000,-24.2308561187,-16.2079126386,-5.4026381560
Br,-1.0000000000,-24.2308560990,-16.2079126417,5.4026385817
Br,-1.0000000000,-5.4026376606,24.2308547074,-16.2079150537
Br,-1.0000000000,5.4026378645,24.2308547077,-16.2079150385
Br,-1.0000000000,-5.4026376013,24.2308546981,16.2079151595
Br,-1.0000000000,5.4026379238,24.2308546983,16.2079151747
Br,-1.0000000000,-24.2308561419,5.4026372760,-16.2079148983
Br,-1.0000000000,-24.2308561402,-5.4026376797,-16.2079148960
Br,-1.0000000000,-24.2308560826,5.4026372666,16.2079153150
Br,-1.0000000000,-24.2308560809,-5.4026376891,16.2079153172
Br,-1.0000000000,-5.4026376994,16.2079121793,-24.2308588814
Br,-1.0000000000,5.4026378257,16.2079121796,-24.2308588661
Br,-1.0000000000,-5.4026376943,-16.2079126879,-24.2308588746
Br,-1.0000000000,5.4026378308,-16.2079126876,-24.2308588594
Br,-1.0000000000,-16.2079132228,5.4026372233,-24.2308588943
Br,-1.0000000000,16.2079133525,5.4026372241,-24.2308588486
Br,-1.0000000000,-16.2079132211,-5.4026377324,-24.2308588921
Br,-1.0000000000,16.2079133542,-5.4026377316,-24.2308588464
Br,-1.0000000000,-16.2079131796,18.9902446500,-16.2079149538
Br,-1.0000000000,16.2079133957,18.9902446508,-16.2079149081
Br,-1.0000000000,-16.2079131203,18.9902446407,16.2079152594
Br,-1.0000000000,-18.9902456912,16.2079122535,-16.2079150264
Br,-1.0000000000,-18.9902456319,16.2079122441,16.2079151868
Br,-1.0000000000,18.9902459568,16.2079122328,-16.2079148396
Br,-1.0000000000,16.2079134550,18.9902446415,16.2079153051
Br,-1.0000000000,-16.2079131789,-18.9902451157,-16.2079150600
Br,-1.0000000000,-16.2079131195,-18.9902451251,16.2079151532
Br,-1.0000000000,-18.9902456861,-16.2079126137,-16.2079150196
Br,-1.0000000000,16.2079133965,-18.9902451149,-16.2079150143
Br,-1.0000000000,-18.9902456267,-16.2079126230,16.2079151936
