species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,5.3144272924,-26.5721312466,-18.7517491631
Br,-1.0000000000,-5.3144245090,-18.7517505024,26.5721312317
Br,-1.0000000000,-18.7517517310,-26.5721302973,5.3144263647
Br,-1.0000000000,-18.7517518198,-26.5721305545,-5.3144259250
Br,-1.0000000000,-26.5721294846,18.7517538847,5.3144248588
Br,-1.0000000000,5.3144275135,-18.7517507074,26.5721313247
Br,-1.0000000000,18.7517544795,-5.3144253715,26.5721291913
Br,-1.0000000000,-5.3144252619,18.7517539893,26.5721296241
Br,-1.0000000000,-26.5721295733,18.7517536275,-5.3144274309
Br,-1.0000000000,5.3144267606,18.7517537843,26.5721297171
Br,-1.0000000000,-18.7517519588,-5.3144246354,26.5721314692
Br,-1.0000000000,18.7517542768,5.3144272021,26.5721294539
Br,-1.0000000000,-18.7517521615,5.3144279382,26.5721317317
Br,-1.0000000000,18.7517547073,-26.5721310334,5.3144240868
Br,-1.0000000000,18.7517546185,-26.5721312906,-5.3144282029
Br,-1.0000000000,-10.6288506499,-10.6288510446,29.3806027195
Br,-1.0000000000,-29.3806028151,-10.6288511080,10.6288525867
Br,-1.0000000000,-29.3806029926,-10.6288516225,-10.6288519927
Br,-1.0000000000,10.6288533952,-10.6288514546,29.3806029054
Br,-1.0000000000,-10.6288504178,-29.3806039875,10.6288522583
Br,-1.0000000000,-10.6288510552,10.6288541026,29.3806032446
Br,-1.0000000000,-29.3806033980,10.6288535247,-10.6288514676
Br,-1.0000000000,-10.6288505954,-29.3806045021,-10.6288523211
Br,-1.0000000000,-29.3806032204,10.6288540393,10.6288531118
Br,-1.0000000000,10.6288529898,10.6288536926,29.3806034305
Br,-1.0000000000,10.6288536272,-29.3806043975,10.6288524443
Br,-1.0000000000,10.6288534497,-29.3806049121,-10.6288521351
Cs,1.0000000000,-29.2293416287,-13.2860645310,7.9716383870
Cs,1.0000000000,-23.9149156146,-18.6004905358,13.2860643367
Cs,1.0000000000,-29.2293419190,-7.9716379611,13.2860645273
Cs,1.0000000000,-23.9149158892,-13.2860643455,18.6004907097
Cs,1.0000000000,-18.6004896480,-13.2860640598,23.9149168935
Cs,1.0000000000,-18.6004895341,-23.9149168907,13.2860643413
Cs,1.0000000000,-13.2860635033,-18.6004904835,23.9149167194
Cs,1.0000000000,-29.2293419369,-13.2860646267,-7.9716400685
Cs,1.0000000000,-29.2293418273,-7.9716383125,-13.2860659687
Cs,1.0000000000,-13.2860636640,-23.9149171241,18.6004905401
Cs,1.0000000000,-7.9716374060,-13.2860644264,29.2293431523
Cs,1.0000000000,-13.2860639550,-7.9716376346,29.2293433112
Cs,1.0000000000,-13.2860637272,-29.2293432964,7.9716382067
Cs,1.0000000000,-7.9716374686,-29.2293435184,13.2860641881
Cs,1.0000000000,-29.2293421647,7.9716410352,13.2860650360
Cs,1.0000000000,-29.2293422116,7.9716401017,-13.2860656673
Cs,1.0000000000,-23.9149161300,-18.6004910323,-13.2860662031
