# time rdo00 rdo01 rdo10 rdo11
461.00000000000165 0.07911390-0.00000181j -0.12576388+0.00107990j -0.12576504-0.00108072j 0.92088599+0.00000143j
462.0000000000017 0.07904527-0.00000173j -0.12666090+0.00015417j -0.12666233-0.00015527j 0.92095462+0.00000136j
463.0000000000017 0.07907343-0.00000165j -0.12778548-0.00062734j -0.12778711+0.00062593j 0.92092645+0.00000127j
464.0000000000017 0.07918029-0.00000155j -0.12907737-0.00123431j -0.12907913+0.00123260j 0.92081959+0.00000117j
465.0000000000017 0.07934487-0.00000145j -0.13047202-0.00164623j -0.13047383+0.00164423j 0.92065502+0.00000107j
466.0000000000017 0.07954437-0.00000134j -0.13190359-0.00185115j -0.13190536+0.00184888j 0.92045552+0.00000097j
467.0000000000017 0.07975507-0.00000124j -0.13330713-0.00184435j -0.13330876+0.00184184j 0.92024482+0.00000087j
468.0000000000017 0.07995311-0.00000115j -0.13462027-0.00162820j -0.13462165+0.00162550j 0.92004679+0.00000078j
469.0000000000017 0.08011528-0.00000108j -0.13578478-0.00121182j -0.13578581+0.00120900j 0.91988462+0.00000072j
470.00000000000176 0.08021980-0.00000103j -0.13674806-0.00061141j -0.13674863+0.00060860j 0.91978010+0.00000067j
471.00000000000176 0.08024717-0.00000100j -0.13746473+0.00014893j -0.13746480-0.00015160j 0.91975273+0.00000065j
472.00000000000176 0.08018107-0.00000101j -0.13789876+0.00103658j -0.13789835-0.00103896j 0.91981883+0.00000066j
473.00000000000176 0.08000939-0.00000104j -0.13802579+0.00201013j -0.13802499-0.00201210j 0.91999051+0.00000070j
474.00000000000176 0.07972515-0.00000109j -0.13783564+0.00301999j -0.13783459-0.00302150j 0.92027474+0.00000075j
475.00000000000176 0.07932736-0.00000115j -0.13733455+0.00401025j -0.13733341-0.00401130j 0.92067253+0.00000081j
476.0000000000017 0.07882156-0.00000122j -0.13654678+0.00492179j -0.13654566-0.00492244j 0.92117832+0.00000088j
477.0000000000017 0.07821997-0.00000128j -0.13551488+0.00569656j -0.13551388-0.00569688j 0.92177992+0.00000094j
478.0000000000018 0.07754104-0.00000133j -0.13429852+0.00628255j -0.13429768-0.00628263j 0.92245884+0.00000099j
479.0000000000018 0.07680855-0.00000138j -0.13297129+0.00663879j -0.13297064-0.00663868j 0.92319133+0.00000103j
480.0000000000018 0.07605007-0.00000141j -0.13161605+0.00673966j -0.13161559-0.00673943j 0.92394982+0.00000106j
481.0000000000018 0.07529504-0.00000143j -0.13031875+0.00657777j -0.13031851-0.00657745j 0.92470484+0.00000108j
482.00000000000176 0.07457271-0.00000144j -0.12916177+0.00616488j -0.12916178-0.00616452j 0.92542717+0.00000109j
483.00000000000176 0.07390990-0.00000143j -0.12821726+0.00553062j -0.12821753-0.00553028j 0.92608998+0.00000108j
484.00000000000176 0.07332926-0.00000141j -0.12754180+0.00471918j -0.12754235-0.00471890j 0.92667062+0.00000105j
485.00000000000176 0.07284782-0.00000137j -0.12717279+0.00378463j -0.12717364-0.00378446j 0.92715206+0.00000101j
486.00000000000176 0.07247619-0.00000132j -0.12712689+0.00278584j -0.12712805-0.00278582j 0.92752369+0.00000096j
487.0000000000018 0.07221829-0.00000124j -0.12740040+0.00178136j -0.12740186-0.00178154j 0.92778159+0.00000088j
488.0000000000018 0.07207164-0.00000115j -0.12797140+0.00082539j -0.12797314-0.00082579j 0.92792824+0.00000079j
489.0000000000018 0.07202803-0.00000105j -0.12880293-0.00003523j -0.12880492+0.00003458j 0.92797185+0.00000069j
490.0000000000018 0.07207445-0.00000093j -0.12984673-0.00076250j -0.12984891+0.00076158j 0.92792542+0.00000057j
491.0000000000018 0.07219412-0.00000081j -0.13104695-0.00132762j -0.13104925+0.00132643j 0.92780574+0.00000044j
492.0000000000018 0.07236752-0.00000068j -0.13234343-0.00171082j -0.13234576+0.00170936j 0.92763234+0.00000031j
493.0000000000018 0.07257334-0.00000055j -0.13367451-0.00190009j -0.13367677+0.00189837j 0.92742652+0.00000018j
494.0000000000018 0.07278933-0.00000043j -0.13497908-0.00189066j -0.13498113+0.00188871j 0.92721053+0.00000006j
495.0000000000019 0.07299308-0.00000032j -0.13619837-0.00168460j -0.13620007+0.00168249j 0.92700678-0.00000005j
496.0000000000019 0.07316281-0.00000024j -0.13727750-0.00129059j -0.13727873+0.00128842j 0.92683706-0.00000013j
497.0000000000019 0.07327809-0.00000019j -0.13816696-0.00072428j -0.13816765+0.00072219j 0.92672178-0.00000019j
498.0000000000019 0.07332070-0.00000016j -0.13882430-0.00000890j -0.13882442+0.00000706j 0.92667917-0.00000021j
499.0000000000019 0.07327549-0.00000017j -0.13921610+0.00082424j -0.13921571-0.00082566j 0.92672438-0.00000020j
500.0000000000019 0.07313131-0.00000020j -0.13932016+0.00173569j -0.13931943-0.00173655j 0.92686856-0.00000017j
501.0000000000019 0.07288191-0.00000025j -0.13912786+0.00267858j -0.13912697-0.00267885j 0.92711796-0.00000012j
502.0000000000019 0.07252664-0.00000030j -0.13864605+0.00360055j -0.13864524-0.00360026j 0.92747323-0.00000008j
503.00000000000193 0.07207098-0.00000034j -0.13789841+0.00444666j -0.13789786-0.00444594j 0.92792889-0.00000004j
504.00000000000193 0.07152653-0.00000036j -0.13692555+0.00516341j -0.13692536-0.00516245j 0.92847334-0.00000002j
505.00000000000193 0.07091066-0.00000036j -0.13578365+0.00570327j -0.13578383-0.00570228j 0.92908921-0.00000002j
506.00000000000193 0.07024558-0.00000034j -0.13454149+0.00602913j -0.13454196-0.00602829j 0.92975429-0.00000004j
507.00000000000193 0.06955688-0.00000031j -0.13327597+0.00611820j -0.13327660-0.00611761j 0.93044299-0.00000007j
508.00000000000193 0.06887184-0.00000028j -0.13206654+0.00596434j -0.13206718-0.00596405j 0.93112803-0.00000010j
509.0000000000019 0.06821745-0.00000024j -0.13098898+0.00557890j -0.13098952-0.00557887j 0.93178242-0.00000014j
510.0000000000019 0.06761847-0.00000022j -0.13010957+0.00498937j -0.13010993-0.00498950j 0.93238140-0.00000016j
511.0000000000019 0.06709579-0.00000020j -0.12948024+0.00423637j -0.12948042-0.00423653j 0.93290408-0.00000018j
