# time rdo00 rdo01 rdo10 rdo11
313.0000000000009 0.15143821+0.00000282j -0.12051065+0.00826925j -0.12051364-0.00826750j 0.84856221-0.00000306j
314.00000000000097 0.15042103+0.00000299j -0.11956157+0.00971042j -0.11956427-0.00970921j 0.84957939-0.00000322j
315.00000000000097 0.14925015+0.00000312j -0.11821018+0.01097341j -0.11821239-0.01097265j 0.85075028-0.00000336j
316.00000000000097 0.14795084+0.00000323j -0.11653486+0.01196830j -0.11653647-0.01196784j 0.85204959-0.00000347j
317.00000000000097 0.14655794+0.00000331j -0.11464050+0.01261825j -0.11464148-0.01261795j 0.85344249-0.00000354j
318.00000000000097 0.14511378+0.00000334j -0.11265248+0.01286859j -0.11265286-0.01286833j 0.85488666-0.00000358j
319.00000000000097 0.14366524+0.00000335j -0.11070743+0.01269406j -0.11070723-0.01269380j 0.85633521-0.00000359j
320.00000000000097 0.14226021+0.00000332j -0.10894176+0.01210288j -0.10894099-0.01210260j 0.85774024-0.00000356j
321.00000000000097 0.14094373+0.00000326j -0.10747953+0.01113639j -0.10747815-0.01113608j 0.85905671-0.00000350j
322.000000000001 0.13975452+0.00000317j -0.10642147+0.00986460j -0.10641944-0.00986416j 0.86024592-0.00000340j
323.000000000001 0.13872211+0.00000303j -0.10583684+0.00837804j -0.10583411-0.00837734j 0.86127833-0.00000327j
324.000000000001 0.13786513+0.00000286j -0.10575917+0.00677774j -0.10575578-0.00677659j 0.86213531-0.00000309j
325.00000000000097 0.13719067+0.00000265j -0.10618622+0.00516492j -0.10618231-0.00516309j 0.86280976-0.00000289j
326.000000000001 0.13669483+0.00000242j -0.10708374+0.00363207j -0.10707954-0.00362942j 0.86330560-0.00000265j
327.000000000001 0.13636403+0.00000218j -0.10839171+0.00225677j -0.10838754-0.00225322j 0.86363641-0.00000242j
328.000000000001 0.13617691+0.00000195j -0.11003196+0.00109855j -0.11002817-0.00109414j 0.86382352-0.00000219j
329.000000000001 0.13610646+0.00000175j -0.11191559+0.00019861j -0.11191248-0.00019351j 0.86389398-0.00000199j
330.000000000001 0.13612191+0.00000160j -0.11394932-0.00041823j -0.11394711+0.00042375j 0.86387853-0.00000184j
331.000000000001 0.13619049+0.00000150j -0.11604032-0.00074046j -0.11603911+0.00074611j 0.86380994-0.00000175j
332.000000000001 0.13627875+0.00000146j -0.11809926-0.00076681j -0.11809900+0.00077231j 0.86372168-0.00000171j
333.000000000001 0.13635353+0.00000148j -0.12004209-0.00050380j -0.12004267+0.00050894j 0.86364690-0.00000172j
334.000000000001 0.13638279+0.00000153j -0.12179103+0.00003536j -0.12179228-0.00003068j 0.86361763-0.00000177j
335.0000000000011 0.13633641+0.00000162j -0.12327537+0.00083048j -0.12327711-0.00082633j 0.86366402-0.00000185j
336.0000000000011 0.13618696+0.00000174j -0.12443264+0.00185307j -0.12443473-0.00184945j 0.86381346-0.00000196j
337.0000000000011 0.13591083+0.00000187j -0.12521061+0.00306431j -0.12521291-0.00306122j 0.86408959-0.00000209j
338.0000000000011 0.13548946+0.00000201j -0.12557013+0.00441331j -0.12557250-0.00441074j 0.86451097-0.00000222j
339.0000000000011 0.13491075+0.00000214j -0.12548882+0.00583634j -0.12549111-0.00583427j 0.86508968-0.00000235j
340.0000000000011 0.13417052+0.00000227j -0.12496507+0.00725783j -0.12496713-0.00725620j 0.86582992-0.00000247j
341.0000000000011 0.13327363+0.00000237j -0.12402162+0.00859369j -0.12402331-0.00859243j 0.86672682-0.00000258j
342.0000000000011 0.13223468+0.00000246j -0.12270789+0.00975693j -0.12270915-0.00975591j 0.86776577-0.00000266j
343.00000000000114 0.13107794+0.00000252j -0.12110004+0.01066521j -0.12110085-0.01066433j 0.86892252-0.00000272j
344.0000000000011 0.12983629+0.00000255j -0.11929814+0.01124934j -0.11929856-0.01124853j 0.87016417-0.00000276j
345.0000000000011 0.12854931+0.00000256j -0.11742018+0.01146139j -0.11742026-0.01146065j 0.87145115-0.00000277j
346.0000000000011 0.12726049+0.00000256j -0.11559328+0.01128092j -0.11559305-0.01128031j 0.87273997-0.00000276j
347.00000000000114 0.12601390+0.00000253j -0.11394303+0.01071811j -0.11394244-0.01071771j 0.87398656-0.00000274j
348.00000000000114 0.12485076+0.00000248j -0.11258254+0.00981307j -0.11258148-0.00981289j 0.87514971-0.00000269j
349.00000000000114 0.12380624+0.00000241j -0.11160266+0.00863131j -0.11160101-0.00863128j 0.87619422-0.00000262j
350.00000000000114 0.12290705+0.00000229j -0.11106500+0.00725628j -0.11106266-0.00725625j 0.87709341-0.00000250j
351.00000000000114 0.12216985+0.00000214j -0.11099837+0.00578023j -0.11099534-0.00577998j 0.87783060-0.00000235j
352.00000000000114 0.12160085+0.00000195j -0.11139913+0.00429512j -0.11139551-0.00429441j 0.87839960-0.00000216j
353.00000000000114 0.12119623+0.00000173j -0.11223466+0.00288487j -0.11223065-0.00288348j 0.87880422-0.00000195j
354.00000000000114 0.12094342+0.00000149j -0.11344911+0.00161998j -0.11344500-0.00161775j 0.87905703-0.00000172j
355.00000000000114 0.12082276+0.00000126j -0.11497013+0.00055490j -0.11496628-0.00055178j 0.87917769-0.00000149j
356.0000000000012 0.12080935+0.00000106j -0.11671547-0.00027214j -0.11671223+0.00027603j 0.87919109-0.00000129j
357.0000000000012 0.12087483+0.00000090j -0.11859864-0.00083743j -0.11859629+0.00084186j 0.87912562-0.00000113j
358.00000000000114 0.12098882+0.00000080j -0.12053314-0.00112927j -0.12053183+0.00113391j 0.87901162-0.00000103j
359.00000000000114 0.12112020+0.00000076j -0.12243535-0.00114534j -0.12243505+0.00114986j 0.87888024-0.00000098j
360.0000000000012 0.12123801+0.00000077j -0.12422619-0.00089087j -0.12422675+0.00089497j 0.87876242-0.00000099j
361.0000000000012 0.12131227+0.00000082j -0.12583227-0.00037778j -0.12583342+0.00038128j 0.87868816-0.00000104j
362.0000000000012 0.12131476+0.00000090j -0.12718689+0.00037490j -0.12718833-0.00037204j 0.87868567-0.00000111j
363.0000000000012 0.12121985+0.00000099j -0.12823134+0.00133972j -0.12823280-0.00133744j 0.87878058-0.00000120j
364.0000000000012 0.12100560+0.00000107j -0.12891701+0.00247912j -0.12891831-0.00247728j 0.87899483-0.00000128j
365.0000000000012 0.12065494+0.00000114j -0.12920821+0.00374406j -0.12920927-0.00374249j 0.87934549-0.00000134j
366.0000000000012 0.12015703+0.00000120j -0.12908564+0.00507358j -0.12908646-0.00507214j 0.87984340-0.00000139j
367.0000000000012 0.11950853+0.00000124j -0.12855002+0.00639614j -0.12855067-0.00639478j 0.88049189-0.00000143j
368.00000000000125 0.11871464+0.00000128j -0.12762518+0.00763304j -0.12762573-0.00763175j 0.88128579-0.00000147j
369.00000000000125 0.11778959+0.00000131j -0.12635991+0.00870376j -0.12636039-0.00870260j 0.88221084-0.00000150j
370.00000000000125 0.11675650+0.00000133j -0.12482753+0.00953310j -0.12482792-0.00953214j 0.88324393-0.00000152j
371.0000000000012 0.11564632+0.00000135j -0.12312290+0.01005887j -0.12312314-0.01005815j 0.88435411-0.00000154j
372.00000000000125 0.11449595+0.00000135j -0.12135651+0.01023903j -0.12135652-0.01023855j 0.88550448-0.00000155j
373.00000000000125 0.11334564+0.00000134j -0.11964620+0.01005705j -0.11964593-0.01005676j 0.88665479-0.00000154j
374.00000000000125 0.11223595+0.00000132j -0.11810739+0.00952434j -0.11810681-0.00952418j 0.88776448-0.00000151j
375.00000000000125 0.11120459+0.00000127j -0.11684317+0.00867923j -0.11684230-0.00867911j 0.88879584-0.00000147j
376.0000000000013 0.11028362+0.00000121j -0.11593567+0.00758263j -0.11593457-0.00758249j 0.88971681-0.00000142j
377.00000000000125 0.10949724+0.00000114j -0.11543999+0.00631117j -0.11543873-0.00631099j 0.89050319-0.00000135j
378.00000000000125 0.10886049+0.00000107j -0.11538131+0.00494904j -0.11537993-0.00494880j 0.89113994-0.00000127j
379.00000000000125 0.10837884+0.00000098j -0.11575528+0.00357991j -0.11575382-0.00357960j 0.89162158-0.00000119j
380.00000000000125 0.10804869+0.00000090j -0.11653133+0.00228014j -0.11652980-0.00227973j 0.89195173-0.00000111j
381.0000000000013 0.10785843+0.00000081j -0.11765776+0.00111415j -0.11765619-0.00111357j 0.89214199-0.00000102j
382.0000000000013 0.10778997+0.00000072j -0.11906777+0.00013209j -0.11906622-0.00013130j 0.89221045-0.00000093j
383.0000000000013 0.10782036+0.00000063j -0.12068532-0.00063024j -0.12068388+0.00063127j 0.89218005-0.00000085j
384.0000000000013 0.10792339+0.00000056j -0.12243013-0.00115007j -0.12242891+0.00115131j 0.89207702-0.00000077j
385.0000000000013 0.10807086+0.00000050j -0.12422157-0.00141551j -0.12422060+0.00141688j 0.89192954-0.00000071j
386.0000000000013 0.10823378+0.00000045j -0.12598121-0.00142343j -0.12598051+0.00142484j 0.89176662-0.00000067j
387.0000000000013 0.10838321+0.00000042j -0.12763461-0.00117800j -0.12763413+0.00117937j 0.89161719-0.00000063j
388.0000000000013 0.10849107+0.00000040j -0.12911251-0.00069015j -0.12911216+0.00069145j 0.89150933-0.00000061j
389.00000000000136 0.10853090+0.00000039j -0.13035196+0.00002197j -0.13035166-0.00002073j 0.89146950-0.00000059j
390.0000000000013 0.10847878+0.00000037j -0.13129782+0.00093185j -0.13129755-0.00093062j 0.89152162-0.00000058j
391.0000000000013 0.10831431+0.00000036j -0.13190493+0.00200313j -0.13190468-0.00200187j 0.89168609-0.00000056j
392.0000000000013 0.10802182+0.00000035j -0.13214081+0.00318857j -0.13214060-0.00318727j 0.89197858-0.00000055j
393.00000000000136 0.10759159+0.00000035j -0.13198893+0.00443005j -0.13198879-0.00442873j 0.89240880-0.00000054j
394.00000000000136 0.10702102+0.00000035j -0.13145195+0.00566006j -0.13145189-0.00565876j 0.89297936-0.00000053j
395.00000000000136 0.10631554+0.00000035j -0.13055440+0.00680513j -0.13055441-0.00680388j 0.89368485-0.00000053j
396.00000000000136 0.10548895+0.00000035j -0.12934394+0.00779097j -0.12934400-0.00778981j 0.89451143-0.00000053j
397.00000000000136 0.10456321+0.00000036j -0.12789071+0.00854903j -0.12789080-0.00854798j 0.89543717-0.00000054j
398.00000000000136 0.10356737+0.00000036j -0.12628418+0.00902341j -0.12628426-0.00902248j 0.89643301-0.00000054j
399.00000000000136 0.10253579+0.00000037j -0.12462744+0.00917719j -0.12462751-0.00917641j 0.89746459-0.00000054j
